"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C5AD 12xlarge","c5ad.12xlarge","96.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN Eight Extra Large","m5dn.8xlarge","128.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN Eight Extra Large","m6in.8xlarge","128.0 GiB","32 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"IS4GEN Quadruple Extra Large","is4gen.4xlarge","96.0 GiB","16 vCPUs","15000 GB (2 * 7500 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7G 16xlarge","c7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7G Metal","c7g.metal","128.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Eight Extra Large","r5b.8xlarge","256.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID Eight Extra Large","r6id.8xlarge","256.0 GiB","32 vCPUs","1900 GB NVMe SSD","12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID 12xlarge","c6id.12xlarge","96.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","18.75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU Eight Extra Large","g5.8xlarge","128.0 GiB","32 vCPUs","900 GB NVMe SSD","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I4G Eight Extra Large","i4g.8xlarge","256.0 GiB","32 vCPUs","7500 GB (2 * 3750 GB NVMe SSD)","18.75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN Eight Extra Large","m6idn.8xlarge","128.0 GiB","32 vCPUs","1900 GB NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7G 12xlarge","r7g.12xlarge","384.0 GiB","48 vCPUs","EBS only","22.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7G 16xlarge","m7g.16xlarge","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M7G Metal","m7g.metal","256.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN Eight Extra Large","r5dn.8xlarge","256.0 GiB","32 vCPUs","1200 GB (2 * 600 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2GD Eight Extra Large","x2gd.8xlarge","512.0 GiB","32 vCPUs","1900 GB NVMe SSD","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 12xlarge","r6a.12xlarge","384.0 GiB","48 vCPUs","EBS only","18.75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6IN 12xlarge","c6in.12xlarge","96.0 GiB","48 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C5AD 16xlarge","c5ad.16xlarge","128.0 GiB","64 vCPUs","2400 GB (2 * 1200 GB NVMe SSD)","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN Eight Extra Large","r6in.8xlarge","256.0 GiB","32 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID 12xlarge","m6id.12xlarge","192.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","18.75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5N 12xlarge","m5n.12xlarge","192.0 GiB","48 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"IM4GN Eight Extra Large","im4gn.8xlarge","128.0 GiB","32 vCPUs","15000 GB (2 * 7500 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7GN 12xlarge","c7gn.12xlarge","96.0 GiB","48 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU Double Extra Large","p3.2xlarge","61.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN Eight Extra Large","r6idn.8xlarge","256.0 GiB","32 vCPUs","1900 GB NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID 16xlarge","c6id.16xlarge","128.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN 12xlarge","m5dn.12xlarge","192.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E Quadruple Extra Large","x1e.4xlarge","488.0 GiB","16 vCPUs","480 GB SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 12xlarge","m6in.12xlarge","192.0 GiB","48 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7G Metal","r7g.metal","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R7G 16xlarge","r7g.16xlarge","512.0 GiB","64 vCPUs","EBS only","30 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G4AD 16xlarge","g4ad.16xlarge","256.0 GiB","64 vCPUs","2400 GB (2 * 1200 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 12xlarge","r5b.12xlarge","384.0 GiB","48 vCPUs","EBS only","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 16xlarge","r6a.16xlarge","512.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 12xlarge","r6id.12xlarge","384.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","18.75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6IN 16xlarge","c6in.16xlarge","128.0 GiB","64 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","16000 GB (8 * 2000 GB HDD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","47520 GB (24 * 1980 GB NVMe HDD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1900 GB NVMe SSD","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","48 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 16xlarge","m6in.16xlarge","256.0 GiB","64 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","30000 GB (4 * 7500 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","2850 GB (2 * 1425 GB NVMe SSD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","64 vCPUs","EBS only","20 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","5700 GB (4 * 1425 GB NVMe SSD)","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","15000 GB (4 * 3750 GB NVMe SSD)","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","2400 GB (4 * 600 GB NVMe SSD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","EBS only","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","3800 GB NVMe SSD","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","5700 GB (4 * 1425 GB NVMe SSD)","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","30000 GB (4 * 7500 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","3800 GB (2 * 1900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB SSD","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB (4 * 1425 GB NVMe SSD)","37.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6ID Metal","m6id.metal","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 24xlarge","m6idn.24xlarge","384.0 GiB","96 vCPUs","5700 GB (4 * 1425 GB NVMe SSD)","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN Metal","r5dn.metal","768.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R5DN 24xlarge","r5dn.24xlarge","768.0 GiB","96 vCPUs","3600 GB (4 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 24xlarge","g5.24xlarge","384.0 GiB","96 vCPUs","3800 GB NVMe SSD","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 24xlarge","r6in.24xlarge","768.0 GiB","96 vCPUs","EBS only","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN 32xlarge","m6in.32xlarge","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IN Metal","m6in.metal","512.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 24xlarge","r6idn.24xlarge","768.0 GiB","96 vCPUs","5700 GB (4 * 1425 GB NVMe SSD)","150 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID 32xlarge","r6id.32xlarge","1024.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6ID Metal","r6id.metal","1024.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN 32xlarge","m6idn.32xlarge","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"M6IDN Metal","m6idn.metal","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A 48xlarge","r6a.48xlarge","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6A Metal","r6a.metal","1536.0 GiB","192 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN 32xlarge","r6in.32xlarge","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IN Metal","r6in.metal","1024.0 GiB","128 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU Eight Extra Large","p3.8xlarge","244.0 GiB","32 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN 32xlarge","r6idn.32xlarge","1024.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"R6IDN Metal","r6idn.metal","1024.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"INF2 48xlarge","inf2.48xlarge","768.0 GiB","192 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","128 vCPUs","3840 GB (2 * 1920 GB SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","64 vCPUs","1920 GB SSD","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P2 General Purpose GPU 16xlarge","p2.16xlarge","732.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 48xlarge","g5.48xlarge","768.0 GiB","192 vCPUs","7600 GB (2 * 3800 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3 High Performance GPU 16xlarge","p3.16xlarge","488.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","128 vCPUs","3840 GB (2 * 1920 GB SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-3TB1 56xlarge","u-3tb1.56xlarge","3072.0 GiB","224 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4D Highest Performance GPU 24xlarge","p4d.24xlarge","1152.0 GiB","96 vCPUs","8000 GB (8 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 56xlarge","u-6tb1.56xlarge","6144.0 GiB","224 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 112xlarge","u-6tb1.112xlarge","6144.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-12TB1 112xlarge","u-12tb1.112xlarge","12288.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Extra Large","g5g.xlarge","8.0 GiB","4 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Extra Large","d3en.xlarge","16.0 GiB","4 vCPUs","27960 GB (2 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Double Extra Large","g5g.2xlarge","16.0 GiB","8 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 3xlarge","vt1.3xlarge","24.0 GiB","12 vCPUs","EBS only","3.12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Quadruple Extra Large","g5g.4xlarge","32.0 GiB","16 vCPUs","EBS only","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Double Extra Large","d3en.2xlarge","32.0 GiB","8 vCPUs","55920 GB (4 * 13980 GB NVMe HDD)","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 6xlarge","vt1.6xlarge","48.0 GiB","24 vCPUs","EBS only","6.25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1 Double Extra Large","trn1.2xlarge","32.0 GiB","8 vCPUs","474 GB NVMe SSD","Up to 12.5 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Eight Extra Large","g5g.8xlarge","64.0 GiB","32 vCPUs","EBS only","12 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","8 vCPUs","470 GB NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Double Extra Large","x2iezn.2xlarge","256.0 GiB","8 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G Eight Extra Large","hpc7g.8xlarge","128.0 GiB","32 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G 16xlarge","hpc7g.16xlarge","128.0 GiB","64 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"HPC7G Quadruple Extra Large","hpc7g.4xlarge","128.0 GiB","16 vCPUs","EBS only","200 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","32 vCPUs","3360 GB (4 * 840 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Quadruple Extra Large","d3en.4xlarge","64.0 GiB","16 vCPUs","111840 GB (8 * 13980 GB NVMe HDD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G Metal","g5g.metal","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"G5G 16xlarge","g5g.16xlarge","128.0 GiB","64 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 6xlarge","d3en.6xlarge","96.0 GiB","24 vCPUs","167760 GB (12 * 13980 GB NVMe HDD)","40 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 Quadruple Extra Large","f1.4xlarge","244.0 GiB","16 vCPUs","940 GB NVMe SSD","Up to 10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Quadruple Extra Large","x2iezn.4xlarge","512.0 GiB","16 vCPUs","EBS only","Up to 25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Memory Cluster Eight Extra Large","cr1.8xlarge","244.0 GiB","32 vCPUs","240 GB (2 * 120 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","223680 GB (16 * 13980 GB NVMe HDD)","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"High Storage Eight Extra Large","hs1.8xlarge","117.0 GiB","16 vCPUs","49152 GB (24 * 2048 GB HDD)","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","EBS only","50 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","EBS only","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","335520 GB (24 * 13980 GB NVMe HDD)","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Eight Extra Large","x2iezn.8xlarge","1024.0 GiB","32 vCPUs","EBS only","75 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN 12xlarge","x2iezn.12xlarge","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"X2IEZN Metal","x2iezn.metal","1536.0 GiB","48 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"DL1 24xlarge","dl1.24xlarge","768.0 GiB","96 vCPUs","4000 GB (4 * 1000 GB NVMe SSD)","4x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"F1 16xlarge","f1.16xlarge","976.0 GiB","64 vCPUs","3760 GB (4 * 940 GB NVMe SSD)","25 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1 32xlarge","trn1.32xlarge","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","8x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"TRN1N 32xlarge","trn1n.32xlarge","512.0 GiB","128 vCPUs","7600 GB (4 * 1900 GB NVMe SSD)","16x 100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","96 vCPUs","1800 GB (2 * 900 GB NVMe SSD)","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"P4DE 24xlarge","p4de.24xlarge","1152.0 GiB","96 vCPUs","8000 GB (8 * 1000 GB NVMe SSD)","400 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-9TB1 112xlarge","u-9tb1.112xlarge","9216.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-18TB1 112xlarge","u-18tb1.112xlarge","18432.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-24TB1 112xlarge","u-24tb1.112xlarge","24576.0 GiB","448 vCPUs","EBS only","100 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","448 vCPUs","EBS only","NA","unavailable","unavailable","unavailable","unavailable","unavailable"
"MAC2 Metal","mac2.metal","16.0 GiB","12 vCPUs","EBS only","10 Gigabit","unavailable","unavailable","unavailable","unavailable","unavailable"
